,dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2019,continentExp,Cumulative_number_for_14_days_of_COVID-19_cases_per_100000
62,2020-08-20,20,8,2020,160,8,Afghanistan,AF,AFG,38041757.0,Asia,2.26855978
63,2020-08-19,19,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.02409158
64,2020-08-18,18,8,2020,3,0,Afghanistan,AF,AFG,38041757.0,Asia,2.23964419
65,2020-08-17,17,8,2020,45,5,Afghanistan,AF,AFG,38041757.0,Asia,2.32901966
66,2020-08-16,16,8,2020,120,7,Afghanistan,AF,AFG,38041757.0,Asia,2.21072859
67,2020-08-15,15,8,2020,7,0,Afghanistan,AF,AFG,38041757.0,Asia,1.89528575
68,2020-08-14,14,8,2020,79,9,Afghanistan,AF,AFG,38041757.0,Asia,2.3185049
69,2020-08-13,13,8,2020,76,10,Afghanistan,AF,AFG,38041757.0,Asia,2.29747538
70,2020-08-12,12,8,2020,215,32,Afghanistan,AF,AFG,38041757.0,Asia,2.09769491
71,2020-08-11,11,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,1.80328159
72,2020-08-10,10,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,2.07929408
73,2020-08-09,9,8,2020,39,5,Afghanistan,AF,AFG,38041757.0,Asia,2.35793526
74,2020-08-08,8,8,2020,78,9,Afghanistan,AF,AFG,38041757.0,Asia,2.57348786
75,2020-08-07,7,8,2020,41,0,Afghanistan,AF,AFG,38041757.0,Asia,2.65234858
76,2020-08-06,6,8,2020,67,4,Afghanistan,AF,AFG,38041757.0,Asia,2.57874525
77,2020-08-05,5,8,2020,82,6,Afghanistan,AF,AFG,38041757.0,Asia,2.89681678
78,2020-08-04,4,8,2020,37,4,Afghanistan,AF,AFG,38041757.0,Asia,2.97567749
79,2020-08-03,3,8,2020,0,1,Afghanistan,AF,AFG,38041757.0,Asia,3.2464326
80,2020-08-02,2,8,2020,0,0,Afghanistan,AF,AFG,38041757.0,Asia,3.70382472
81,2020-08-01,1,8,2020,168,12,Afghanistan,AF,AFG,38041757.0,Asia,3.73536901
